winner,weight_class,is_title_bout,gender,total_rounds,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
1,5,0,1,3.0,20,3,28.0,175.26,61.23,2,5.42,2.94,0.47,0.5,0.5,0.4,0.0,1.69,11,3,23.0,167.64,61.23,0,3.06,4.56,0.52,0.75,0.53,0.5,0.0,3.06,9,0,5.0,7.620000000000003,0.0,2.36,-1.6199999999999997,-0.05,-0.25,-0.03,-0.0999999999999999,0.0,-1.37
1,5,0,1,3.0,11,2,36.0,172.72,61.23,0,3.43,3.61,0.43,0.16,0.71,0.79,0.0,0.2,14,1,28.0,175.26,61.23,0,5.42,2.97,0.53,0.4,0.62,0.85,0.2,1.7,-3,1,8.0,-2.539999999999992,0.0,-1.99,0.6399999999999997,-0.1,-0.24,0.0899999999999999,-0.0599999999999999,-0.2,-1.5
1,9,0,1,3.0,10,1,28.0,187.96,83.91,2,5.96,3.82,0.62,0.14,0.5,0.5,0.0,0.45,11,5,31.0,185.42,83.91,0,3.59,4.9,0.51,0.5,0.3,0.66,0.0,0.56,-1,-4,-3.0,2.5400000000000205,0.0,2.37,-1.0800000000000003,0.1099999999999999,-0.36,0.2,-0.16,0.0,-0.11
1,7,0,1,3.0,21,4,29.0,170.18,70.31,1,3.96,3.74,0.55,0.47,0.53,0.83,0.0,1.77,11,4,29.0,177.8,70.31,0,7.66,11.9,0.29,0.0,0.48,0.33,0.0,0.0,10,0,0.0,-7.620000000000003,0.0,-3.7,-8.16,0.26,0.47,0.05,0.4999999999999999,0.0,1.77
0,7,0,1,3.0,15,4,28.0,172.72,70.31,0,4.14,3.6,0.34,0.3,0.59,0.2,0.0,2.32,18,5,33.0,180.34,70.31,0,2.93,4.73,0.42,0.57,0.45,0.55,0.0,6.73,-3,-1,-5.0,-7.620000000000003,0.0,1.2099999999999995,-1.1300000000000003,-0.0799999999999999,-0.2699999999999999,0.1399999999999999,-0.35,0.0,-4.41
0,4,0,1,5.0,21,8,30.0,170.18,56.7,0,3.87,3.63,0.44,0.46,0.59,0.63,0.5,1.74,16,7,31.0,175.26,56.7,1,4.33,3.42,0.36,0.6,0.46,0.4,1.1,0.47,5,1,-1.0,-5.079999999999984,0.0,-0.4599999999999999,0.2099999999999999,0.08,-0.1399999999999999,0.1299999999999999,0.2299999999999999,-0.6000000000000001,1.27
0,6,0,1,5.0,16,5,31.0,180.34,65.77,0,4.65,3.99,0.46,0.27,0.52,0.58,0.7,0.69,16,3,33.0,172.72,65.77,2,4.07,6.54,0.38,0.27,0.49,0.57,1.2,1.17,0,2,-2.0,7.620000000000003,0.0,0.5800000000000001,-2.55,0.08,0.0,0.03,0.01,-0.5,-0.48
1,7,0,1,3.0,15,1,24.0,185.42,70.31,2,5.86,5.06,0.41,0.33,0.56,0.94,0.2,0.22,12,2,21.0,177.8,70.31,0,4.58,5.66,0.41,0.0,0.52,0.25,0.4,0.0,3,-1,3.0,7.619999999999976,0.0,1.2800000000000002,-0.6000000000000005,0.0,0.33,0.04,0.69,-0.2,0.22
1,0,0,0,3.0,11,1,25.0,160.02,52.16,0,6.26,5.12,0.38,0.0,0.55,1.0,0.0,0.0,8,6,31.0,165.1,52.16,0,4.03,4.51,0.45,0.3,0.56,0.57,0.0,0.96,3,-5,-6.0,-5.079999999999984,0.0,2.2299999999999995,0.6100000000000003,-0.07,-0.3,-0.01,0.43,0.0,-0.96
1,7,0,1,3.0,15,2,29.0,177.8,70.31,2,8.14,3.15,0.58,0.66,0.56,0.88,1.6,3.26,11,2,30.0,177.8,70.31,0,4.88,3.65,0.46,0.38,0.49,0.33,0.0,3.85,4,0,-1.0,0.0,0.0,3.2600000000000007,-0.5,0.1199999999999999,0.28,0.07,0.55,1.6,-0.5900000000000003
0,5,0,1,3.0,18,5,27.0,172.72,61.23,0,4.19,4.55,0.4,0.37,0.55,0.84,0.0,1.37,18,5,36.0,170.18,61.23,0,5.22,4.79,0.51,0.32,0.61,0.85,0.6,1.86,0,0,-9.0,2.539999999999992,0.0,-1.0299999999999994,-0.2400000000000002,-0.1099999999999999,0.0499999999999999,-0.0599999999999999,-0.01,-0.6,-0.49
1,4,0,1,3.0,10,2,28.0,162.56,56.7,0,1.49,1.11,0.5,0.33,0.59,0.4,1.4,1.9,10,3,25.0,167.64,56.7,0,1.66,4.14,0.4,0.27,0.3,0.55,0.4,2.54,0,-1,3.0,-5.079999999999984,0.0,-0.1699999999999999,-3.03,0.0999999999999999,0.06,0.29,-0.15,1.0,-0.6400000000000001
1,4,0,1,3.0,11,5,28.0,170.18,56.7,0,2.69,4.1,0.48,0.0,0.43,0.41,1.7,0.0,11,6,27.0,167.64,56.7,2,3.95,8.28,0.45,0.5,0.34,0.0,1.2,2.32,0,-1,1.0,2.5400000000000205,0.0,-1.2600000000000002,-4.18,0.0299999999999999,-0.5,0.0899999999999999,0.41,0.5,-2.32
0,7,0,1,3.0,13,4,27.0,177.8,70.31,1,1.56,2.78,0.49,0.36,0.46,0.6,1.2,3.17,15,4,27.0,185.42,70.31,0,2.7,1.72,0.48,0.23,0.65,0.67,0.2,0.81,-2,0,0.0,-7.619999999999976,0.0,-1.14,1.0599999999999998,0.01,0.1299999999999999,-0.19,-0.07,1.0,2.36
1,4,0,1,3.0,17,2,24.0,167.64,56.7,0,2.0,3.56,0.41,0.5,0.47,0.63,1.8,1.2,14,5,31.0,167.64,56.7,0,4.59,5.16,0.5,0.58,0.56,0.62,0.0,3.99,3,-3,-7.0,0.0,0.0,-2.59,-1.6,-0.09,-0.0799999999999999,-0.09,0.01,1.8,-2.79
0,4,0,1,3.0,12,4,33.0,172.72,56.7,2,4.55,3.7,0.57,0.39,0.54,0.63,0.0,3.43,8,1,23.0,170.18,56.7,0,4.53,5.07,0.34,0.0,0.4,0.16,0.5,0.0,4,3,10.0,2.539999999999992,0.0,0.0199999999999995,-1.37,0.2299999999999999,0.39,0.14,0.47,-0.5,3.43
0,6,0,1,3.0,9,3,37.0,175.26,65.77,0,2.07,1.57,0.7,0.8,0.4,0.62,0.0,3.76,11,2,29.0,175.26,65.77,0,3.33,4.57,0.46,0.33,0.41,0.57,0.0,1.94,-2,1,8.0,0.0,0.0,-1.2600000000000002,-3.0,0.2399999999999999,0.47,-0.0099999999999999,0.05,0.0,1.82
0,6,1,1,5.0,26,4,35.0,167.64,65.77,0,6.16,3.44,0.56,0.37,0.58,0.7,0.2,1.78,15,0,27.0,170.18,65.77,0,4.4,3.35,0.46,0.56,0.65,0.92,1.3,1.92,11,4,8.0,-2.5400000000000205,0.0,1.7599999999999998,0.0899999999999998,0.1,-0.19,-0.07,-0.22,-1.1,-0.1399999999999999
